,layer_height,wall_thickness,infill_density,nozzle_temperature,bed_temperature,print_speed,fan_speed,roughness,tension_strenght,elongation,material_pla,infill_pattern_grid
0,0.02,8.0,90.0,220.0,60.0,40.0,0.0,25.0,18.0,1.2,False,True
1,0.02,7.0,90.0,225.0,65.0,40.0,25.0,32.0,16.0,1.4,False,False
2,0.02,1.0,80.0,230.0,70.0,40.0,50.0,40.0,8.0,0.8,False,True
3,0.02,4.0,70.0,240.0,75.0,40.0,75.0,68.0,10.0,0.5,False,False
4,0.02,6.0,90.0,250.0,80.0,40.0,100.0,92.0,5.0,0.7,False,True
5,0.02,10.0,40.0,200.0,60.0,40.0,0.0,60.0,24.0,1.1,True,False
6,0.02,8.0,90.0,250.0,90.0,40.0,100.0,98.0,5.0,0.95,False,True
7,0.02,10.0,10.0,210.0,70.0,40.0,50.0,21.0,14.0,1.5,True,False
8,0.02,9.0,70.0,215.0,75.0,40.0,75.0,24.0,27.0,1.4,True,True
9,0.02,8.0,40.0,220.0,80.0,40.0,100.0,30.0,25.0,1.7,True,False
10,0.06,6.0,80.0,220.0,60.0,60.0,0.0,75.0,37.0,2.4,False,True
11,0.06,2.0,20.0,225.0,65.0,60.0,25.0,92.0,12.0,1.4,False,False
12,0.06,10.0,50.0,230.0,70.0,60.0,50.0,118.0,16.0,1.3,False,True
13,0.06,6.0,10.0,240.0,75.0,60.0,75.0,200.0,9.0,0.8,False,False
14,0.06,3.0,50.0,250.0,80.0,60.0,100.0,220.0,10.0,1.0,False,True
15,0.06,10.0,90.0,200.0,60.0,60.0,0.0,126.0,27.0,2.2,True,False
16,0.06,3.0,40.0,205.0,65.0,60.0,25.0,145.0,23.0,1.9,True,True
17,0.06,8.0,30.0,210.0,70.0,60.0,50.0,88.0,26.0,1.6,True,False
18,0.06,5.0,90.0,215.0,90.0,60.0,75.0,92.0,38.0,2.2,True,True
19,0.06,10.0,50.0,220.0,80.0,60.0,100.0,74.0,29.0,2.0,True,False
20,0.1,1.0,40.0,220.0,60.0,90.0,0.0,120.0,16.0,1.2,False,True
21,0.1,2.0,30.0,225.0,65.0,90.0,25.0,144.0,12.0,1.1,False,False
22,0.1,1.0,50.0,230.0,70.0,90.0,50.0,265.0,10.0,0.9,False,True
23,0.1,9.0,80.0,240.0,75.0,90.0,75.0,312.0,19.0,0.8,False,False
24,0.1,2.0,60.0,250.0,80.0,90.0,100.0,368.0,8.0,0.4,False,True
25,0.1,1.0,50.0,200.0,60.0,90.0,0.0,180.0,11.0,1.6,True,False
26,0.1,4.0,40.0,205.0,65.0,90.0,25.0,176.0,12.0,1.2,True,True
27,0.1,3.0,50.0,210.0,70.0,90.0,50.0,128.0,18.0,1.8,True,False
28,0.1,4.0,90.0,215.0,75.0,90.0,75.0,138.0,34.0,2.9,True,True
29,0.09,8.0,60.0,210.0,70.0,60.0,50.0,98.0,26.0,1.6,True,False
30,0.15,4.0,50.0,220.0,60.0,60.0,0.0,168.0,27.0,2.4,False,True
31,0.15,7.0,10.0,225.0,65.0,60.0,25.0,154.0,19.0,1.8,False,False
32,0.15,6.0,50.0,230.0,70.0,60.0,50.0,225.0,18.0,1.4,False,True
33,0.15,1.0,50.0,240.0,75.0,60.0,75.0,289.0,9.0,0.6,False,False
34,0.15,7.0,80.0,250.0,80.0,60.0,100.0,326.0,13.0,0.7,False,True
35,0.15,3.0,80.0,200.0,60.0,60.0,0.0,192.0,33.0,2.8,True,False
36,0.15,4.0,50.0,205.0,65.0,60.0,25.0,212.0,24.0,1.8,True,True
37,0.15,10.0,30.0,210.0,70.0,60.0,50.0,168.0,26.0,2.1,True,False
38,0.15,6.0,40.0,215.0,75.0,60.0,75.0,172.0,22.0,2.3,True,True
39,0.15,1.0,10.0,220.0,80.0,60.0,100.0,163.0,4.0,0.7,True,False
40,0.2,4.0,80.0,220.0,60.0,40.0,0.0,212.0,35.0,3.3,False,True
41,0.2,9.0,90.0,225.0,65.0,40.0,25.0,276.0,34.0,3.1,False,False
42,0.2,7.0,30.0,230.0,70.0,40.0,50.0,298.0,28.0,2.2,False,True
43,0.2,6.0,90.0,240.0,75.0,40.0,75.0,360.0,28.0,1.6,False,False
44,0.2,3.0,80.0,250.0,80.0,40.0,100.0,357.0,21.0,1.1,False,True
45,0.2,5.0,60.0,200.0,60.0,40.0,0.0,321.0,28.0,2.7,True,False
46,0.2,4.0,20.0,205.0,65.0,40.0,25.0,265.0,14.0,1.8,True,True
